ciudad,ambiente,sitio,parche,planta,ID,ind1_gr,ind2_gr,ind3_gr,ind4_gr,ind5_gr,promedio,sla,tricomas,P_mg_Kg,C_porcentaje,K_Cmol_Kg,N_porcentaje,CN_ratio,C_porc_suelo,N_porc_suelo
cun,u,4,2,m2,cun_u42m2,NA,NA,NA,NA,NA,NA,NA,NA,1446.22028985507,39.9271584415584,51.375,3.43069306930693,11.6382193437154,8.64,0.4
cun,u,5,1,m1,cun_u51m1,0.0063,0.0046,0.0079,0.0093,0.0078,0.00718,29.3871866295265,NA,980.673786407767,33.9443671407957,59.375,2.80693069306931,12.0930549602129,4.45,0.23
cun,u,5,1,m2,cun_u51m2,0.0097,0.0071,0.0071,0.0101,0.0089,0.00858,24.5920745920746,15.45,1645.39024390244,38.4197127037992,56.5,2.49504950495049,15.3983769169989,5,0.27
cun,u,5,2,m1,cun_u52m1,0.0057,0.0052,0.0066,0.0067,0.0047,0.00578,36.5051903114187,10.45,583.642857142857,32.988766745066,72.5,1.95588235294118,16.8664371328157,7.82,0.34
cun,u,5,2,m2,cun_u52m2,0.004,0.0038,0.0037,0.0034,0.004,0.00378,55.8201058201058,2.1,1249.11594202899,38.4145568149544,52.875,2.92537313432836,13.1315066663364,3.28,0.1
mid,r,1,1,m1,mid_r11m1,0.0071,0.0074,NA,NA,NA,0.00725,29.1034482758621,9.125,185.948317307692,34.7448415584416,3.55128205128205,2.09,16.6243261045175,3.41,0.23
mid,r,1,1,m2,mid_r11m2,0.0079,0.0075,NA,NA,NA,0.0077,27.4025974025974,8.875,162.811594202899,38.8050807475957,2.56410256410256,1.76,22.0483413338612,10.69,1.34
mid,r,1,2,m1,mid_r12m1,0.0054,0.0075,NA,NA,NA,0.00645,32.7131782945736,12.25,157.852870813397,39.3507215007215,3.26923076923077,1.92,20.4951674482924,6.56,0.08
mid,r,1,2,m2,mid_r12m2,0.0086,0.0077,NA,NA,NA,0.00815,25.8895705521472,8.375,1221.31971153846,37.6119017616047,3.71794871794872,1.76,21.3703987281845,6.2,0.37
mid,r,2,1,m1,mid_r21m1,0.0052,0.006,NA,NA,NA,0.0056,37.6785714285714,4.1875,1091.22976190476,37.9796006365176,3.70512820512821,2.77,13.7110471611977,5.37,0.47
mid,r,2,1,m2,mid_r21m2,0.0044,0.0049,NA,NA,NA,0.00465,45.3763440860215,NA,244.25,37.5738210507441,5.42307692307692,2.07,18.1516043723401,7.32,0.5
mid,r,2,2,m1,mid_r22m1,NA,NA,NA,NA,NA,NA,NA,NA,216.406097560976,42.7900535971965,3.19230769230769,0,NA,11.58,0.7
mid,r,2,2,m2,mid_r22m2,NA,NA,NA,NA,NA,NA,NA,NA,269.151162790698,41.1030917800148,2.33333333333333,2.43,16.9148525843682,10.69,0.84
mid,r,3,1,m1,mid_r31m1,0.0096,0.0087,NA,NA,NA,0.00915,23.0601092896175,3.125,506.678909952607,36.061730744503,2.82051282051282,1.93,18.684834582644,13.25,0.8
mid,r,3,1,m2,mid_r31m2,0.0098,0.0106,NA,NA,NA,0.0102,20.6862745098039,9.75,504.28891509434,40.5818897637795,2.29487179487179,2.18,18.6155457632016,4.71,0.63
mid,r,3,2,m1,mid_r32m1,0.0084,0.0078,NA,NA,NA,0.0081,26.0493827160494,12.125,171.685483870968,35.518549953983,0.397435897435897,1.76,20.1809942920358,5.45,0.33
mid,r,3,2,m2,mid_r32m2,NA,NA,NA,NA,NA,NA,NA,NA,138.693069306931,41.1843231866947,4.08974358974359,2.26,18.2231518525198,5.52,0.3
mid,r,4,1,m1,mid_r41m1,0.0066,0.0075,NA,NA,NA,0.00705,29.9290780141844,2.625,NA,NA,NA,NA,NA,7.07,0.37
mid,r,4,1,m2,mid_r41m2,0.0091,0.0083,NA,NA,NA,0.0087,24.2528735632184,18.75,NA,NA,NA,NA,NA,7.11,0.5
mid,r,4,2,m1,mid_r42m1,0.0057,0.005,NA,NA,NA,0.00535,39.4392523364486,2.125,NA,NA,NA,NA,NA,,
mid,r,4,2,m2,mid_r42m2,0.0064,0.0056,NA,NA,NA,0.006,35.1666666666667,5.5,NA,NA,NA,NA,NA,5.02,0.3
mid,r,5,1,m1,mid_r51m1,0.0065,0.0048,NA,NA,NA,0.00565,37.3451327433628,12.75,2020.525,42.0417865567566,5.01282051282051,2.26,18.6025604233436,3.18,0.3
mid,r,5,1,m2,mid_r51m2,0.0058,0.0058,NA,NA,NA,0.0058,36.3793103448276,5,NA,NA,NA,NA,NA,7.09,0.73
mid,r,5,2,m1,mid_r52m1,0.0051,0.0045,NA,NA,NA,0.0048,43.9583333333333,2.5,800.139908256881,36.9099051741909,4.08974358974359,2.6,9.0249924877332,6.99,0.64
mid,r,5,2,m2,mid_r52m2,0.0045,0.0046,NA,NA,NA,0.00455,46.3736263736264,3,674.761961722488,38.6767181536412,4.08974358974359,2,9.45700318490286,6.18,0.47
mid,u,1,1,m1,mid_u11m1,0.0041,0.0049,NA,NA,NA,0.0045,46.8888888888889,1.33333333333333,1371.71,35.6452363636364,5.53846153846154,1.92826398852224,18.485662012987,5.5,0.4
mid,u,1,1,m2,mid_u11m2,0.0049,0.005,NA,NA,NA,0.00495,42.6262626262626,1.08333333333333,623.435643564357,34.2540565317036,4.66666666666667,2.26008968609865,15.1560607273213,6.09,0.23
mid,u,1,2,m1,mid_u12m1,0.0041,0.0051,NA,NA,NA,0.0046,45.8695652173913,6.5,968.327586206897,37.2928,5.25641025641026,2.87390029325513,12.976372244898,4.14,0.25
mid,u,1,2,m2,mid_u12m2,0.0023,0.002,NA,NA,NA,0.00215,98.1395348837209,3.46666666666667,652.59756097561,38.1165818181818,4.37179487179487,2.00796812749004,18.9826627705628,3.91,0.25
mid,u,2,1,m1,mid_u21m1,0.0047,0.0052,NA,NA,NA,0.00495,42.6262626262626,4,826.048543689321,33.4964304850356,NA,2.54048780487805,13.1850388813984,4.72,0.25
mid,u,2,1,m2,mid_u21m2,0.053,0.0039,NA,NA,NA,0.02845,7.41652021089631,0.4,1310.6961722488,34.522521129664,4.6025641025641,2.31724137931034,14.8981117970276,6.19,0.43
mid,u,2,2,m1,mid_u22m1,0.0039,0.0046,NA,NA,NA,0.00425,49.6470588235294,1.8,1064.95792079208,39.1757298701299,4.8974358974359,2.20087336244541,17.8000836116265,5.14,0.47
mid,u,2,2,m2,mid_u22m2,0.0037,0.0054,NA,NA,NA,0.00455,46.3736263736264,NA,596.338235294118,49.8848935064935,3.02564102564102,1.65680473372781,30.1090964378479,9.75,0.6
mid,u,3,1,m1,mid_u31m1,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,5.05,0.15
mid,u,3,1,m2,mid_u31m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.93,0.4
mid,u,3,2,m1,mid_u32m1,0.0065,NA,NA,NA,NA,0.0065,32.4615384615385,1.66666666666667,630.087064676617,38.5229539088363,4.11538461538462,2.63529411764706,14.6180851886209,6.48,0.6
