"ciudad","ambiente","sitio","parche","planta","id","ind1_gr","ind2_gr","ind3_gr","ind4_gr","ind5_gr","promedio","sla"
"mid","r","4","2","m1","mid_r42m1",0.0057,0.005,NA,NA,NA,0.00535,39.4392523364486
"mid","r","4","2","m2","mid_r42m2",0.0064,0.0056,NA,NA,NA,0.006,35.1666666666667
"mid","r","5","1","m1","mid_r51m1",0.0065,0.0048,NA,NA,NA,0.00565,37.3451327433628
"mid","r","5","1","m2","mid_r51m2",0.0058,0.0058,NA,NA,NA,0.0058,36.3793103448276
"mid","r","5","2","m1","mid_r52m1",0.0051,0.0045,NA,NA,NA,0.0048,43.9583333333333
"mid","r","5","2","m2","mid_r52m2",0.0045,0.0046,NA,NA,NA,0.00455,46.3736263736264
"mid","u","1","1","m1","mid_u11m1",0.0041,0.0049,NA,NA,NA,0.0045,46.8888888888889
"mid","u","1","1","m2","mid_u11m2",0.0049,0.005,NA,NA,NA,0.00495,42.6262626262626
"mid","u","1","2","m1","mid_u12m1",0.0041,0.0051,NA,NA,NA,0.0046,45.8695652173913
"mid","u","1","2","m2","mid_u12m2",0.0023,0.002,NA,NA,NA,0.00215,98.1395348837209
"mid","u","2","1","m1","mid_u21m1",0.0047,0.0052,NA,NA,NA,0.00495,42.6262626262626
"mid","u","2","1","m2","mid_u21m2",0.053,0.0039,NA,NA,NA,0.02845,7.41652021089631
"mid","u","2","2","m1","mid_u22m1",0.0039,0.0046,NA,NA,NA,0.00425,49.6470588235294
"mid","u","2","2","m2","mid_u22m2",0.0037,0.0054,NA,NA,NA,0.00455,46.3736263736264
"mid","u","3","1","m1","mid_u31m1",NA,NA,NA,NA,NA,NA,NA
"mid","u","3","1","m2","mid_u31m2",NA,NA,NA,NA,NA,NA,NA
"mid","u","3","2","m1","mid_u32m1",0.0065,NA,NA,NA,NA,0.0065,32.4615384615385
"mid","u","3","2","m2","mid_u32m2",0.0065,0.0067,NA,NA,NA,0.0066,31.969696969697
"mid","u","4","1","m1","mid_u41m1",0.0035,0.0034,NA,NA,NA,0.00345,61.1594202898551
"mid","u","4","1","m2","mid_u41m2",0.0057,0.0058,NA,NA,NA,0.00575,36.695652173913
"mid","u","4","2","m1","mid_u42m1",0.0068,0.0071,NA,NA,NA,0.00695,30.3597122302158
"mid","u","4","2","m2","mid_u42m2",NA,NA,NA,NA,NA,NA,NA
"mid","u","5","1","m1","mid_u51m1",NA,NA,NA,NA,NA,NA,NA
"mid","u","5","1","m2","mid_u51m2",NA,NA,NA,NA,NA,NA,NA
"mid","u","5","2","m1","mid_u52m1",0.005,0.0048,NA,NA,NA,0.0049,43.0612244897959
"mid","u","5","2","m2","mid_u52m2",0.004,0.0042,NA,NA,NA,0.0041,51.4634146341463
"tiz","r","1","1","m1","tiz_r11m1",0.0105,0.01,0.0122,0.009,0.0059,0.00952,22.1638655462185
"tiz","r","1","1","m2","tiz_r11m2",NA,NA,NA,NA,NA,NA,NA
"tiz","r","1","2","m1","tiz_r12m1",NA,NA,NA,NA,NA,NA,NA
"tiz","r","1","2","m2","tiz_r12m2",NA,NA,NA,NA,NA,NA,NA
"tiz","r","2","1","m1","tiz_r21m1",0.0078,0.0081,0.0084,0.0097,0.0086,0.00852,24.7652582159624
"tiz","r","2","1","m2","tiz_r21m2",0.0133,0.0103,0.0066,0.0073,0.0093,0.00936,22.542735042735
"tiz","r","2","2","m1","tiz_r22m1",0.0094,0.0085,0.0079,0.0078,0.01,0.00872,24.197247706422
"tiz","r","2","2","m2","tiz_r22m2",0.0081,0.012,0.0113,0.0143,0.0108,0.0113,18.6725663716814
"tiz","r","3","1","m1","tiz_r31m1",0.0076,0.0058,0.0113,0.0093,0.0094,0.00868,24.3087557603687
"tiz","r","3","1","m2","tiz_r31m2",NA,NA,NA,NA,NA,NA,NA
"tiz","r","3","2","m1","tiz_r32m1",NA,NA,NA,NA,NA,NA,NA
"tiz","r","3","2","m2","tiz_r32m2",0.0103,0.0099,0.0092,0.0099,0.0092,0.0097,21.7525773195876
