"ciudad"	"ambiente"	"sitio"	"parche"	"planta"	"ID"	"Leaf"	"uno"	"dos"	"tres"	"cuatro"	"leafMean"
"cam"	"r"	"4"	"2"	"m2"	"cam_r42m2"	5	38	36	35	31	35
"cam"	"r"	"5"	"1"	"m1"	"cam_r51m1"	1	10	5	2	3	5
"cam"	"r"	"5"	"1"	"m1"	"cam_r51m1"	2	22	21	20	26	22.25
"cam"	"r"	"5"	"1"	"m1"	"cam_r51m1"	3	13	0	12	0	6.25
"cam"	"r"	"5"	"1"	"m1"	"cam_r51m1"	4	31	22	13	13	19.75
"cam"	"r"	"5"	"1"	"m1"	"cam_r51m1"	5	5	14	4	11	8.5
"cam"	"r"	"5"	"1"	"m2"	"cam_r51m2"	1	30	27	10	7	18.5
"cam"	"r"	"5"	"1"	"m2"	"cam_r51m2"	2	6	2	5	6	4.75
"cam"	"r"	"5"	"1"	"m2"	"cam_r51m2"	3	17	13	9	7	11.5
"cam"	"r"	"5"	"1"	"m2"	"cam_r51m2"	4	2	2	4	3	2.75
"cam"	"r"	"5"	"1"	"m2"	"cam_r51m2"	5	6	4	5	0	3.75
"cam"	"r"	"5"	"2"	"m1"	"cam_r52m1"	1	13	47	115	90	66.25
"cam"	"r"	"5"	"2"	"m1"	"cam_r52m1"	2	35	33	30	66	41
"cam"	"r"	"5"	"2"	"m1"	"cam_r52m1"	3	144	200	175	200	179.75
"cam"	"r"	"5"	"2"	"m1"	"cam_r52m1"	4	50	185	54	188	119.25
"cam"	"r"	"5"	"2"	"m1"	"cam_r52m1"	5	64	124	80	130	99.5
"cam"	"r"	"5"	"2"	"m2"	"cam_r52m2"	1	9	7	4	6	6.5
"cam"	"r"	"5"	"2"	"m2"	"cam_r52m2"	2	7	26	8	29	17.5
"cam"	"r"	"5"	"2"	"m2"	"cam_r52m2"	3	8	12	30	12	15.5
"cam"	"r"	"5"	"2"	"m2"	"cam_r52m2"	4	11	20	17	20	17
"cam"	"r"	"5"	"2"	"m2"	"cam_r52m2"	5	18	15	12	17	15.5
"cam"	"u"	"1"	"1"	"m1"	"cam_u11m1"	1	2	6	2	9	4.75
"cam"	"u"	"1"	"1"	"m1"	"cam_u11m1"	2	5	0	0	3	2
"cam"	"u"	"1"	"1"	"m1"	"cam_u11m1"	3	1	1	0	1	0.75
"cam"	"u"	"1"	"1"	"m1"	"cam_u11m1"	4	1	2	9	6	4.5
"cam"	"u"	"1"	"1"	"m1"	"cam_u11m1"	5	4	1	5	3	3.25
"cam"	"u"	"1"	"1"	"m2"	"cam_u11m2"	1	11	0	3	3	4.25
"cam"	"u"	"1"	"1"	"m2"	"cam_u11m2"	2	1	1	0	1	0.75
"cam"	"u"	"1"	"1"	"m2"	"cam_u11m2"	3	1	2	4	1	2
"cam"	"u"	"1"	"1"	"m2"	"cam_u11m2"	4	0	3	1	12	4
"cam"	"u"	"1"	"1"	"m2"	"cam_u11m2"	5	7	1	11	4	5.75
"cam"	"u"	"1"	"2"	"m1"	"cam_u12m1"	1	0	0	1	0	0.25
"cam"	"u"	"1"	"2"	"m1"	"cam_u12m1"	2	3	0	5	0	2
"cam"	"u"	"1"	"2"	"m1"	"cam_u12m1"	3	4	0	4	11	4.75
"cam"	"u"	"1"	"2"	"m1"	"cam_u12m1"	4	6	3	0	0	2.25
"cam"	"u"	"1"	"2"	"m1"	"cam_u12m1"	5	2	2	2	9	3.75
"cam"	"u"	"1"	"2"	"m2"	"cam_u12m2"	1	4	5	0	13	5.5
"cam"	"u"	"1"	"2"	"m2"	"cam_u12m2"	2	1	2	2	2	1.75
"cam"	"u"	"1"	"2"	"m2"	"cam_u12m2"	3	25	38	0	1	16
"cam"	"u"	"1"	"2"	"m2"	"cam_u12m2"	4	5	11	1	1	4.5
"cam"	"u"	"1"	"2"	"m2"	"cam_u12m2"	5	2	1	5	4	3
"cam"	"u"	"2"	"1"	"m1"	"cam_u21m1"	1	6	2	3	17	7
"cam"	"u"	"2"	"1"	"m1"	"cam_u21m1"	2	3	6	10	2	5.25
"cam"	"u"	"2"	"1"	"m1"	"cam_u21m1"	3	24	23	9	4	15
"cam"	"u"	"2"	"1"	"m1"	"cam_u21m1"	4	6	10	15	9	10
"cam"	"u"	"2"	"1"	"m1"	"cam_u21m1"	5	0	0	1	1	0.5
"cam"	"u"	"2"	"1"	"m2"	"cam_u21m2"	1	0	1	4	7	3
"cam"	"u"	"2"	"1"	"m2"	"cam_u21m2"	2	0	2	1	0	0.75
"cam"	"u"	"2"	"1"	"m2"	"cam_u21m2"	3	3	6	3	3	3.75
"cam"	"u"	"2"	"1"	"m2"	"cam_u21m2"	4	0	7	0	0	1.75
"cam"	"u"	"2"	"1"	"m2"	"cam_u21m2"	5	1	13	4	5	5.75
"cam"	"u"	"2"	"2"	"m1"	"cam_u22m1"	1	2	1	1	0	1
"cam"	"u"	"2"	"2"	"m1"	"cam_u22m1"	2	3	4	2	1	2.5
"cam"	"u"	"2"	"2"	"m1"	"cam_u22m1"	3	0	1	6	0	1.75
"cam"	"u"	"2"	"2"	"m1"	"cam_u22m1"	4	4	2	5	5	4
"cam"	"u"	"2"	"2"	"m1"	"cam_u22m1"	5	3	2	3	7	3.75
"cam"	"u"	"2"	"2"	"m2"	"cam_u22m2"	1	3	4	9	5	5.25
"cam"	"u"	"2"	"2"	"m2"	"cam_u22m2"	2	6	4	5	3	4.5
"cam"	"u"	"2"	"2"	"m2"	"cam_u22m2"	3	1	3	7	2	3.25
