"MUESTRA","ID","ID_LASPA","ciudad","ambiente","sitio","parche","planta","P_mg_Kg","C_porcentaje","K_Cmol_Kg","N_porcentaje"
"vegetal","VAL_R21m1","LFR-2022-7987","val","r","2","1","m1",1620.16148325359,36.7650827603769,5.28205128205128,3.59402985074627
"vegetal","VAL_R21m2","LFR-2022-7988","val","r","2","1","m2",2405.47119815668,39.0648379179875,6.69230769230769,3.76119402985075
"vegetal","VAL_R22m1","LFR-2022-7989","val","r","2","2","m1",728.621138996139,43.8607226436929,4.46153846153846,2.57821782178218
"vegetal","VAL_R22m2","LFR-2022-7990","val","r","2","2","m2",368.065221579961,42.6902082044939,4.78205128205128,2.57821782178218
"vegetal","VAL_R31m1","LFR-2022-7991","val","r","3","1","m1",837.453424657534,38.0805451465531,5.02564102564102,3.31034482758621
"vegetal","VAL_R31m2","LFR-2022-7992","val","r","3","1","m2",1258.90745192308,42.2937323546019,4.5,1.58019801980198
"vegetal","VAL_R32m1","LFR-2022-7993","val","r","3","2","m1",806.540961538462,39.4531563863572,4.51282051282051,2.82772277227723
"vegetal","VAL_R32m2","LFR-2022-7994","val","r","3","2","m2",2109.31617647059,39.4051027712445,6.15384615384615,2.16237623762376
"vegetal","VAL_R41m1","LFR-2022-7995","val","r","4","1","m1",368.775772200772,46.9623992608182,4.55128205128205,2.5910447761194
"vegetal","VAL_R41m2","LFR-2022-7996","val","r","4","1","m2",293.075831702544,42.7197685482834,4.05128205128205,2.32871287128713
"vegetal","VAL_R42m1","LFR-2022-7997","val","r","4","1","m1",449.890490196078,43.6601714491043,4.7948717948718,2.1
"vegetal","VAL_R42m2","LFR-2022-7998","val","r","4","2","m2",426.182233009709,45.4404204832496,4.38461538461538,2.41188118811881
"vegetal","VAL_R51m1","LFR-2022-7999","val","r","5","1","m1",1065.8471563981,40.4037724180581,6.17948717948718,3.09253731343284
"vegetal","VAL_R51m2","LFR-2022-8000","val","r","5","1","m2",811.803404669261,40.5519557670053,6.11538461538462,3.12941176470588
"vegetal","VAL_R52m1","LFR-2022-8001","val","r","5","2","m1",2133.68357487923,41.680768333463,7.51282051282051,2.15172413793103
"vegetal","VAL_R52m2","LFR-2022-8002","val","r","5","2","m2",3597.60817307692,42.0444569183273,6.1025641025641,2.15172413793103
"vegetal","VAL_U11m1","LFR-2022-7963","val","u","1","1","m1",599.673814229249,40.6860714923583,5.55128205128205,2.67462686567164
"vegetal","VAL_U11m2","LFR-2022-7964","val","u","1","1","m2",1050.31432038835,39.374876314162,8.25641025641026,2.74455445544554
"vegetal","VAL_U12m1","LFR-2022-7965","val","u","1","2","m1",849.358349900597,28.8001990151303,4.80769230769231,2.436
"vegetal","VAL_U12m2","LFR-2022-7966","val","u","1","2","m2",1380.94704433498,36.1312333789471,4.76923076923077,3.0089552238806
"vegetal","VAL_U21m1","LFR-2022-7967","val","u","2","1","m1",1182.58333333333,39.0282435513205,6.84615384615385,2.84179104477612
"vegetal","VAL_U21m2","LFR-2022-7968","val","u","2","1","m2",710.754125736739,42.5512487512488,4.38461538461538,2.00597014925373
"vegetal","VAL_U22m1","LFR-2022-7969","val","u","2","2","m1",1218.87679425837,36.7039787250523,5.91025641025641,2.75820895522388
"vegetal","VAL_U22m2","LFR-2022-7970","val","u","2","2","m2",714.893230174081,36.6204888923452,3.80769230769231,2.15172413793103
"vegetal","VAL_U31m1","LFR-2022-7971","val","u","3","1","m1",624.466600397614,37.35098049361,2.32051282051282,2.23448275862069
"vegetal","VAL_U31m2","LFR-2022-7972","val","u","3","1","m2",778.978082191781,40.3579436373903,4.41025641025641,2.00597014925373
"vegetal","VAL_U32m1","LFR-2022-7973","val","u","3","2","m1",1477.06547619048,41.236528224251,3.84615384615385,1.6551724137931
"vegetal","VAL_U32m2","LFR-2022-7974","val","u","3","2","m2",723.149903288201,39.4765266106443,4.07692307692308,1.596
"vegetal","VAL_U41m1","LFR-2022-7975","val","u","4","1","m1",423.12119140625,37.891790261021,4.7948717948718,2.24554455445544
"vegetal","VAL_U41m2","LFR-2022-7976","val","u","4","1","m2",1145.19186046512,35.1002917559578,4.34615384615385,2.23448275862069
"vegetal","VAL_U42m1","LFR-2022-7977","val","u","4","2","m1",870.55654296875,41.6420861190092,3.75641025641026,2.24554455445544
"vegetal","VAL_U42m2","LFR-2022-7978","val","u","4","2","m2",602.159784735812,42.1272215973003,3.94871794871795,2.48275862068965
"vegetal","VAL_U51m1","LFR-2022-7979","val","u","5","1","m1",1129.66990291262,39.374876314162,6.06410256410256,2.57821782178218
"vegetal","VAL_U51m2","LFR-2022-7980","val","u","5","1","m2",760.78203125,33.8673579385042,5.29487179487179,2.57821782178218
"vegetal","VAL_U52m1","LFR-2022-7981","val","u","5","2","m1",725.930135658915,35.689276731174,5.11538461538462,3.04705882352941
"vegetal","VAL_U52m2","LFR-2022-7982","val","u","5","2","m2",819.477756286267,42.5809080683097,5.62820512820513,2.30588235294118
